content,place,year,month,content_token
provinces like sindh balochistan worst affected vast farmlands areas landscapes water,India,2022,August,"['provinces', 'like', 'sindh', 'balochistan', 'worst', 'affected', 'vast', 'farmlands', 'areas', 'landscapes', 'water']"
ask take corrective messasures also tell people rain intensity rain fal haveens 1 2 managed happens 1 10 ecological imbalance deforestation encroaching raja kaluve,India,2022,August,"['ask', 'take', 'corrective', 'messasures', 'also', 'tell', 'people', 'rain', 'intensity', 'rain', 'fal', 'haveens', '1', '2', 'managed', 'happens', '1', '10', 'ecological', 'imbalance', 'deforestation', 'encroaching', 'raja', 'kaluve']"
united nations secretarygeneral antnio guterres warned international community consequences un secretary general enforced taken seriously another country fall victim devastation,India,2022,August,"['united', 'nations', 'secretarygeneral', 'antnio', 'guterres', 'warned', 'international', 'community', 'consequences', 'un', 'secretary', 'general', 'enforced', 'taken', 'seriously', 'another', 'country', 'fall', 'victim', 'devastation']"
china highlights economic damage wrought warmingrecord heatwave behind power shortages paralysed industry probably caused scientists,India,2022,August,"['china', 'highlights', 'economic', 'damage', 'wrought', 'warmingrecord', 'heatwave', 'behind', 'power', 'shortages', 'paralysed', 'industry', 'probably', 'caused', 'scientists']"
deforestation main reason,India,2022,August,"['deforestation', 'main', 'reason']"
rapidly increases average surface temperature past century primarily due greenhouse gases time act late strongly support kinds project,India,2022,August,"['rapidly', 'increases', 'average', 'surface', 'temperature', 'past', 'century', 'primarily', 'due', 'greenhouse', 'gases', 'time', 'act', 'late', 'strongly', 'support', 'kinds', 'project']"
5 real culprit behind western world totally silent6 highly pious people claiming azaab gunahgaar people gunaah happen pakistan apparently,India,2022,August,"['5', 'real', 'culprit', 'behind', 'western', 'world', 'totally', 'silent6', 'highly', 'pious', 'people', 'claiming', 'azaab', 'gunahgaar', 'people', 'gunaah', 'happen', 'pakistan', 'apparently']"
pakistan hit hard floods,India,2022,August,"['pakistan', 'hit', 'hard', 'floods']"
deadly pakistan bear characteristics extreme weather events becoming increasingly common regions pakistan exception read,India,2022,August,"['deadly', 'pakistan', 'bear', 'characteristics', 'extreme', 'weather', 'events', 'becoming', 'increasingly', 'common', 'regions', 'pakistan', 'exception', 'read']"
report rapid turnarounds energy food equity required prosperous future planet,India,2022,August,"['report', 'rapid', 'turnarounds', 'energy', 'food', 'equity', 'required', 'prosperous', 'future', 'planet']"
kids 7chya batmya would jalgaon 47degrees would wonder managed itlately temps pune routinely high 30s pits,India,2022,August,"['kids', '7chya', 'batmya', 'would', 'jalgaon', '47degrees', 'would', 'wonder', 'managed', 'itlately', 'temps', 'pune', 'routinely', 'high', '30s', 'pits']"
digital impact going make ongoing russia ukraine war recession eu etc etc sensible publish something useful informative helpful people large,India,2022,August,"['digital', 'impact', 'going', 'make', 'ongoing', 'russia', 'ukraine', 'war', 'recession', 'eu', 'etc', 'etc', 'sensible', 'publish', 'something', 'useful', 'informative', 'helpful', 'people', 'large']"
one third country water heavy floods pakistan pakistan responsible one sufferer country asia,India,2022,August,"['one', 'third', 'country', 'water', 'heavy', 'floods', 'pakistan', 'pakistan', 'responsible', 'one', 'sufferer', 'country', 'asia']"
thought ala less rainfall gonna die due heatwave,India,2022,August,"['thought', 'ala', 'less', 'rainfall', 'gon', 'na', 'die', 'due', 'heatwave']"
rita39 quite shocked thinking harp really want want restrict introduced installed prevention infrastructure cloud seeding amp wrong time years sounds heartless lets stick,India,2022,August,"['rita39', 'quite', 'shocked', 'thinking', 'harp', 'really', 'want', 'want', 'restrict', 'introduced', 'installed', 'prevention', 'infrastructure', 'cloud', 'seeding', 'amp', 'wrong', 'time', 'years', 'sounds', 'heartless', 'lets', 'stick']"
latest served affectees 14,India,2022,August,"['latest', 'served', 'affectees', '14']"
random events nonatures elements constantly balancing amp counter balancing gift wonderful ecosystemwe jeopardise itaction,India,2022,August,"['random', 'events', 'nonatures', 'elements', 'constantly', 'balancing', 'amp', 'counter', 'balancing', 'gift', 'wonderful', 'ecosystemwe', 'jeopardise', 'itaction']"
constitution environmental duties,India,2022,August,"['constitution', 'environmental', 'duties']"
lives depend,India,2022,August,"['lives', 'depend']"
secretary general antnio guterres warned international community consequences social media platforms,India,2022,August,"['secretary', 'general', 'antnio', 'guterres', 'warned', 'international', 'community', 'consequences', 'social', 'media', 'platforms']"
decided world leaders increase energy cost order decrease higher cost lesser usage lesser energy demand production,India,2022,August,"['decided', 'world', 'leaders', 'increase', 'energy', 'cost', 'order', 'decrease', 'higher', 'cost', 'lesser', 'usage', 'lesser', 'energy', 'demand', 'production']"
leaders thinking one day due madness dictator lives would wipe irrespective cause whether name thingwe focusing real issues issues govt shows,India,2022,August,"['leaders', 'thinking', 'one', 'day', 'due', 'madness', 'dictator', 'lives', 'would', 'wipe', 'irrespective', 'cause', 'whether', 'name', 'thingwe', 'focusing', 'real', 'issues', 'issues', 'govt', 'shows']"
hindustan times rapid glacial melt india pakistan high flash flood risk,India,2022,August,"['hindustan', 'times', 'rapid', 'glacial', 'melt', 'india', 'pakistan', 'high', 'flash', 'flood', 'risk']"
many dams bridges falling blame everything didnt start yesterday,India,2022,August,"['many', 'dams', 'bridges', 'falling', 'blame', 'everything', 'didnt', 'start', 'yesterday']"
volunteer visit,India,2022,August,"['volunteer', 'visit']"
volunteer visit,India,2022,August,"['volunteer', 'visit']"
poor countries bearing brunt due high level carbon emissions developed countries apt example kerala state 59 tree cover minimal pollution suffering due volatile solution,India,2022,August,"['poor', 'countries', 'bearing', 'brunt', 'due', 'high', 'level', 'carbon', 'emissions', 'developed', 'countries', 'apt', 'example', 'kerala', 'state', '59', 'tree', 'cover', 'minimal', 'pollution', 'suffering', 'due', 'volatile', 'solution']"
2the reason himalayas created largest floodplain world despite contributing less 1 carbon emissions causing disintegration pakistan still amongst top 10 countries vulnerable,India,2022,August,"['2the', 'reason', 'himalayas', 'created', 'largest', 'floodplain', 'world', 'despite', 'contributing', 'less', '1', 'carbon', 'emissions', 'causing', 'disintegration', 'pakistan', 'still', 'amongst', 'top', '10', 'countries', 'vulnerable']"
apparently billion tree tsunami wasnt hoax much needed ever,India,2022,August,"['apparently', 'billion', 'tree', 'tsunami', 'wasnt', 'hoax', 'much', 'needed', 'ever']"
sir seen banging utensils stop corona virus pm b surprise new invention control mal nutrition also seen ab square getting oldall jumla nayak,India,2022,August,"['sir', 'seen', 'banging', 'utensils', 'stop', 'corona', 'virus', 'pm', 'b', 'surprise', 'new', 'invention', 'control', 'mal', 'nutrition', 'also', 'seen', 'ab', 'square', 'getting', 'oldall', 'jumla', 'nayak']"
globalwarming expert warned wednesday bangkok could face massive flooding similar happened 2011 mainly possible 1200millimetre rainfall socalled 100yearlevel rains,India,2022,August,"['globalwarming', 'expert', 'warned', 'wednesday', 'bangkok', 'could', 'face', 'massive', 'flooding', 'similar', 'happened', '2011', 'mainly', 'possible', '1200millimetre', 'rainfall', 'socalled', '100yearlevel', 'rains']"
un secretarygeneral antnio guterres warned international community consequences guterres enforced taken seriously another country fall victim devastation,India,2022,August,"['un', 'secretarygeneral', 'antnio', 'guterres', 'warned', 'international', 'community', 'consequences', 'guterres', 'enforced', 'taken', 'seriously', 'another', 'country', 'fall', 'victim', 'devastation']"
tell make water petrol machine end also,India,2022,August,"['tell', 'make', 'water', 'petrol', 'machine', 'end', 'also']"
plantation drive read,India,2022,August,"['plantation', 'drive', 'read']"
acting towards,India,2022,August,"['acting', 'towards']"
un secretarygeneral warns international community consequences taken seriously catastrophic destruction caused pakistan,India,2022,August,"['un', 'secretarygeneral', 'warns', 'international', 'community', 'consequences', 'taken', 'seriously', 'catastrophic', 'destruction', 'caused', 'pakistan']"
solar rail brackets,India,2022,August,"['solar', 'rail', 'brackets']"
farther north norways arctic island archipelago svalbard glaciers melted record pace due humancaused,India,2022,August,"['farther', 'north', 'norways', 'arctic', 'island', 'archipelago', 'svalbard', 'glaciers', 'melted', 'record', 'pace', 'due', 'humancaused']"
part solution pollution,India,2022,August,"['part', 'solution', 'pollution']"
r richard even blaming monsoon flooding pakistan happening since records beganmuch damage past,India,2022,August,"['r', 'richard', 'even', 'blaming', 'monsoon', 'flooding', 'pakistan', 'happening', 'since', 'records', 'beganmuch', 'damage', 'past']"
rising sea levels causing drought severe weather events bosconet actively promotes many green initiativesit one vital step towards promoting green energy reducing carbon footprints,India,2022,August,"['rising', 'sea', 'levels', 'causing', 'drought', 'severe', 'weather', 'events', 'bosconet', 'actively', 'promotes', 'many', 'green', 'initiativesit', 'one', 'vital', 'step', 'towards', 'promoting', 'green', 'energy', 'reducing', 'carbon', 'footprints']"
women empowerment game changer conservation,India,2022,August,"['women', 'empowerment', 'game', 'changer', 'conservation']"
could compensation human lives lost anywhere however rehabilitation rebuilding infrastructure funded un assigning cost tag countries contributing high emissions past,India,2022,August,"['could', 'compensation', 'human', 'lives', 'lost', 'anywhere', 'however', 'rehabilitation', 'rebuilding', 'infrastructure', 'funded', 'un', 'assigning', 'cost', 'tag', 'countries', 'contributing', 'high', 'emissions', 'past']"
fix thismeanwhile visit sk alternative prevention,India,2022,August,"['fix', 'thismeanwhile', 'visit', 'sk', 'alternative', 'prevention']"
peak cognitive dissonance people claim care environment concerned also watch motor sports,India,2022,August,"['peak', 'cognitive', 'dissonance', 'people', 'claim', 'care', 'environment', 'concerned', 'also', 'watch', 'motor', 'sports']"
3 worlds water fit human even developed nations water becoming increasingly limited responsibility conserve water well future generations come,India,2022,August,"['3', 'worlds', 'water', 'fit', 'human', 'even', 'developed', 'nations', 'water', 'becoming', 'increasingly', 'limited', 'responsibility', 'conserve', 'water', 'well', 'future', 'generations', 'come']"
pakistan 7253 glaciers highest number outside polar regions melting alarming rate causing flash floods across countrythis year monsoon season brought unprecedented rains since midjune devastating rains,India,2022,August,"['pakistan', '7253', 'glaciers', 'highest', 'number', 'outside', 'polar', 'regions', 'melting', 'alarming', 'rate', 'causing', 'flash', 'floods', 'across', 'countrythis', 'year', 'monsoon', 'season', 'brought', 'unprecedented', 'rains', 'since', 'midjune', 'devastating', 'rains']"
volunteer visit,India,2022,August,"['volunteer', 'visit']"
mango jamun added nursery reusing waste plastic packetsread,India,2022,August,"['mango', 'jamun', 'added', 'nursery', 'reusing', 'waste', 'plastic', 'packetsread']"
real affects,India,2022,August,"['real', 'affects']"
didnt stop,India,2022,August,"['didnt', 'stop']"
thanks raising voice need take strong steps save planet robert swan greatest threat planet belief someone else save single solve man made problem alone together,India,2022,August,"['thanks', 'raising', 'voice', 'need', 'take', 'strong', 'steps', 'save', 'planet', 'robert', 'swan', 'greatest', 'threat', 'planet', 'belief', 'someone', 'else', 'save', 'single', 'solve', 'man', 'made', 'problem', 'alone', 'together']"
volunteer visit,India,2022,August,"['volunteer', 'visit']"
exactly also questioned cut hundred thousands trees make housing societies agrigreen lands causing amp issues pakistan,India,2022,August,"['exactly', 'also', 'questioned', 'cut', 'hundred', 'thousands', 'trees', 'make', 'housing', 'societies', 'agrigreen', 'lands', 'causing', 'amp', 'issues', 'pakistan']"
worry science take care shortly,India,2022,August,"['worry', 'science', 'take', 'care', 'shortly']"
,India,2022,August,[]
intense heat due would pose serious threat public health agricultural systems likely render large areas uninhabitablet,India,2022,August,"['intense', 'heat', 'due', 'would', 'pose', 'serious', 'threat', 'public', 'health', 'agricultural', 'systems', 'likely', 'render', 'large', 'areas', 'uninhabitablet']"
village bahrain swat built 12 years floods 2010 floods ruined tired stop please,India,2022,August,"['village', 'bahrain', 'swat', 'built', '12', 'years', 'floods', '2010', 'floods', 'ruined', 'tired', 'stop', 'please']"
trying makes believe every september get,India,2022,August,"['trying', 'makes', 'believe', 'every', 'september', 'get']"
happy ganesh chaturthi,India,2022,August,"['happy', 'ganesh', 'chaturthi']"
ready accept cpec might played role event miss soul think issue even citizens stands responsible lets move onto different direction old dates debates anymore,India,2022,August,"['ready', 'accept', 'cpec', 'might', 'played', 'role', 'event', 'miss', 'soul', 'think', 'issue', 'even', 'citizens', 'stands', 'responsible', 'lets', 'move', 'onto', 'different', 'direction', 'old', 'dates', 'debates', 'anymore']"
doomsday,India,2022,August,['doomsday']
countries responsible terms carbon foot print take responsibility providing aid relief ones affected changes resolution tabled,India,2022,August,"['countries', 'responsible', 'terms', 'carbon', 'foot', 'print', 'take', 'responsibility', 'providing', 'aid', 'relief', 'ones', 'affected', 'changes', 'resolution', 'tabled']"
china drought highlights economic damage wrought globalwarming,India,2022,August,"['china', 'drought', 'highlights', 'economic', 'damage', 'wrought', 'globalwarming']"
planted neem peepal amaltas read,India,2022,August,"['planted', 'neem', 'peepal', 'amaltas', 'read']"
bird population bees decreasing fast due communication towers save earth,India,2022,August,"['bird', 'population', 'bees', 'decreasing', 'fast', 'due', 'communication', 'towers', 'save', 'earth']"
com country used first atomic bomb killed 110 thousands innocent people always invest ordinary people dying keep adding money war gov loves create problems,India,2022,August,"['com', 'country', 'used', 'first', 'atomic', 'bomb', 'killed', '110', 'thousands', 'innocent', 'people', 'always', 'invest', 'ordinary', 'people', 'dying', 'keep', 'adding', 'money', 'war', 'gov', 'loves', 'create', 'problems']"
planted peepal neem amaltas jamun pilkhan rise foundationread,India,2022,August,"['planted', 'peepal', 'neem', 'amaltas', 'jamun', 'pilkhan', 'rise', 'foundationread']"
stupid start bashing pakistan without statistical analysispakistan co2 emission minimal emissions whether coal plants autumn pollution instead bashing major co2 contributors decided defend wrong,India,2022,August,"['stupid', 'start', 'bashing', 'pakistan', 'without', 'statistical', 'analysispakistan', 'co2', 'emission', 'minimal', 'emissions', 'whether', 'coal', 'plants', 'autumn', 'pollution', 'instead', 'bashing', 'major', 'co2', 'contributors', 'decided', 'defend', 'wrong']"
buzzkill even,India,2022,August,"['buzzkill', 'even']"
put wolves back national park rebalanced ecosystem including improving rivers water supply pretty cool actually,India,2022,August,"['put', 'wolves', 'back', 'national', 'park', 'rebalanced', 'ecosystem', 'including', 'improving', 'rivers', 'water', 'supply', 'pretty', 'cool', 'actually']"
china drought highlights economic damage wrought globalwarming,India,2022,August,"['china', 'drought', 'highlights', 'economic', 'damage', 'wrought', 'globalwarming']"
12 also producing meat large quantities one biggest contributions food shortage,India,2022,August,"['12', 'also', 'producing', 'meat', 'large', 'quantities', 'one', 'biggest', 'contributions', 'food', 'shortage']"
posted photo whole world stopped moment everyone complete awe one breathed one moved infact moment everyones skin cleared everyones grades top tier even stopped look,India,2022,August,"['posted', 'photo', 'whole', 'world', 'stopped', 'moment', 'everyone', 'complete', 'awe', 'one', 'breathed', 'one', 'moved', 'infact', 'moment', 'everyones', 'skin', 'cleared', 'everyones', 'grades', 'top', 'tier', 'even', 'stopped', 'look']"
yes babe watching great flood news pakistan caused,India,2022,August,"['yes', 'babe', 'watching', 'great', 'flood', 'news', 'pakistan', 'caused']"
one third half snow already melted due adding sea level irreversible path increase,India,2022,August,"['one', 'third', 'half', 'snow', 'already', 'melted', 'due', 'adding', 'sea', 'level', 'irreversible', 'path', 'increase']"
nammaa nalathaaane athaan karma nature returning back,India,2022,August,"['nammaa', 'nalathaaane', 'athaan', 'karma', 'nature', 'returning', 'back']"
lovely habitat turning scary cares voice thanks concern,India,2022,August,"['lovely', 'habitat', 'turning', 'scary', 'cares', 'voice', 'thanks', 'concern']"
coburn causes vapors clouds result rains glaciars melt didnt get,India,2022,August,"['coburn', 'causes', 'vapors', 'clouds', 'result', 'rains', 'glaciars', 'melt', 'didnt', 'get']"
causes vapors clouds result rains glaciars melt didnt get,India,2022,August,"['causes', 'vapors', 'clouds', 'result', 'rains', 'glaciars', 'melt', 'didnt', 'get']"
one major concern todays timeon auspicious ocassion birthday volunteers conducted mega tree plantation drive save mother earth,India,2022,August,"['one', 'major', 'concern', 'todays', 'timeon', 'auspicious', 'ocassion', 'birthday', 'volunteers', 'conducted', 'mega', 'tree', 'plantation', 'drive', 'save', 'mother', 'earth']"
actually mistake words elon musk says population collapse due low birth rates much bigger risk civilization,India,2022,August,"['actually', 'mistake', 'words', 'elon', 'musk', 'says', 'population', 'collapse', 'due', 'low', 'birth', 'rates', 'much', 'bigger', 'risk', 'civilization']"
wakeup callbefore late 33m people affected due rains amp floodsover 13 country submergedsindh province population 50m hardest hit got 466 rain 30year average,India,2022,August,"['wakeup', 'callbefore', 'late', '33m', 'people', 'affected', 'due', 'rains', 'amp', 'floodsover', '13', 'country', 'submergedsindh', 'province', 'population', '50m', 'hardest', 'hit', 'got', '466', 'rain', '30year', 'average']"
due respects 2 maharashtrians tambe marrying lokhande alloyinglokhande marrying pitale brazingkhote marrying khare cheatingkale marrying gore contrastinghiwale marrying unhale warmingbutwagh marrying waghmare suicide,India,2022,August,"['due', 'respects', '2', 'maharashtrians', 'tambe', 'marrying', 'lokhande', 'alloyinglokhande', 'marrying', 'pitale', 'brazingkhote', 'marrying', 'khare', 'cheatingkale', 'marrying', 'gore', 'contrastinghiwale', 'marrying', 'unhale', 'warmingbutwagh', 'marrying', 'waghmare', 'suicide']"
time reasons,India,2022,August,"['time', 'reasons']"
didnt solve world peace didnt erase poverty didnt solve driving 200mph,India,2022,August,"['didnt', 'solve', 'world', 'peace', 'didnt', 'erase', 'poverty', 'didnt', 'solve', 'driving', '200mph']"
real research predicts 6 fold rise fish mass die offs 2100,India,2022,August,"['real', 'research', 'predicts', '6', 'fold', 'rise', 'fish', 'mass', 'die', 'offs', '2100']"
europe aint facing problems facing cooling issues winter coming,India,2022,August,"['europe', 'aint', 'facing', 'problems', 'facing', 'cooling', 'issues', 'winter', 'coming']"
pakistan think believe god usa god effecting whole world pakistan travel around world countries getting hotter every single year,India,2022,August,"['pakistan', 'think', 'believe', 'god', 'usa', 'god', 'effecting', 'whole', 'world', 'pakistan', 'travel', 'around', 'world', 'countries', 'getting', 'hotter', 'every', 'single', 'year']"
important tool mitigating impacts poor vulnerable asian societies writes amir jilani hqread,India,2022,August,"['important', 'tool', 'mitigating', 'impacts', 'poor', 'vulnerable', 'asian', 'societies', 'writes', 'amir', 'jilani', 'hqread']"
adb report least 21 floods played havoc drowned pakistan current floods responsible think integrated water management,India,2022,August,"['adb', 'report', 'least', '21', 'floods', 'played', 'havoc', 'drowned', 'pakistan', 'current', 'floods', 'responsible', 'think', 'integrated', 'water', 'management']"
10 years governor realized heard today stop sarcastic held accountable mischief detonation term ironical best,India,2022,August,"['10', 'years', 'governor', 'realized', 'heard', 'today', 'stop', 'sarcastic', 'held', 'accountable', 'mischief', 'detonation', 'term', 'ironical', 'best']"
sudden dash allahs blame ranking pakistans disaster management agencies would come last 44,India,2022,August,"['sudden', 'dash', 'allahs', 'blame', 'ranking', 'pakistans', 'disaster', 'management', 'agencies', 'would', 'come', 'last', '44']"
sudden dash allahs blame ranking disaster management agencies would come last44,India,2022,August,"['sudden', 'dash', 'allahs', 'blame', 'ranking', 'disaster', 'management', 'agencies', 'would', 'come', 'last44']"
plastic didnt even term imran khan started voicing concerns gw initiated campaign create awareness amongst local masses regarding adverse impacts gw,India,2022,August,"['plastic', 'didnt', 'even', 'term', 'imran', 'khan', 'started', 'voicing', 'concerns', 'gw', 'initiated', 'campaign', 'create', 'awareness', 'amongst', 'local', 'masses', 'regarding', 'adverse', 'impacts', 'gw']"
khan thanks chief 4 ur clarion call 4 help pak un depository 1976 convention enmod amp v hope un wudnt declare unprecedented rainfall effect wo investigations pak first cloud seeding v easy seems,India,2022,August,"['khan', 'thanks', 'chief', '4', 'ur', 'clarion', 'call', '4', 'help', 'pak', 'un', 'depository', '1976', 'convention', 'enmod', 'amp', 'v', 'hope', 'un', 'wudnt', 'declare', 'unprecedented', 'rainfall', 'effect', 'wo', 'investigations', 'pak', 'first', 'cloud', 'seeding', 'v', 'easy', 'seems']"
one blame west theyre responsible meager 80 carbon emissions even though theyre 10 populationhowever south green immediately co2 emissions keep ms tiddly west night,India,2022,August,"['one', 'blame', 'west', 'theyre', 'responsible', 'meager', '80', 'carbon', 'emissions', 'even', 'though', 'theyre', '10', 'populationhowever', 'south', 'green', 'immediately', 'co2', 'emissions', 'keep', 'ms', 'tiddly', 'west', 'night']"
seen attached screen shot top 5 countries contributing almost 60 carbon emissions globally countries compensate countries suffer disasters due caused,India,2022,August,"['seen', 'attached', 'screen', 'shot', 'top', '5', 'countries', 'contributing', 'almost', '60', 'carbon', 'emissions', 'globally', 'countries', 'compensate', 'countries', 'suffer', 'disasters', 'due', 'caused']"
country contributes less 1 affected country world countries responsible held accountable come forward cover damages else planet already doomed,India,2022,August,"['country', 'contributes', 'less', '1', 'affected', 'country', 'world', 'countries', 'responsible', 'held', 'accountable', 'come', 'forward', 'cover', 'damages', 'else', 'planet', 'already', 'doomed']"
enigma penguins gets irritated due,India,2022,August,"['enigma', 'penguins', 'gets', 'irritated', 'due']"
well time natural disasters ones fault floods monsoon major reason melting glaciers carbon emissions major factor,India,2022,August,"['well', 'time', 'natural', 'disasters', 'ones', 'fault', 'floods', 'monsoon', 'major', 'reason', 'melting', 'glaciers', 'carbon', 'emissions', 'major', 'factor']"
pakistans share carbon emissions less 1 among top 10 nations affected warmingpakistans debts waived given fact pakistan facing challenges due carbon emissions developed world,India,2022,August,"['pakistans', 'share', 'carbon', 'emissions', 'less', '1', 'among', 'top', '10', 'nations', 'affected', 'warmingpakistans', 'debts', 'waived', 'given', 'fact', 'pakistan', 'facing', 'challenges', 'due', 'carbon', 'emissions', 'developed', 'world']"
forandhra meat major cause son,India,2022,August,"['forandhra', 'meat', 'major', 'cause', 'son']"
bizarre damaging,India,2022,August,"['bizarre', 'damaging']"
addiction fossil fuels threatens push humanity planet brink unsustainable tantamount digging graves urgently need make peace nature since nature kind mother,India,2022,August,"['addiction', 'fossil', 'fuels', 'threatens', 'push', 'humanity', 'planet', 'brink', 'unsustainable', 'tantamount', 'digging', 'graves', 'urgently', 'need', 'make', 'peace', 'nature', 'since', 'nature', 'kind', 'mother']"
expecting law ban deforestation regimenever ever destroy eco systemmore worsening climatic changedelhi model shows,India,2022,August,"['expecting', 'law', 'ban', 'deforestation', 'regimenever', 'ever', 'destroy', 'eco', 'systemmore', 'worsening', 'climatic', 'changedelhi', 'model', 'shows']"
sm spoke excellently depict tragic ongoing flooding relief rescue efforts govt injustice faced less industrialised countries like pakistan created industrialised world,India,2022,August,"['sm', 'spoke', 'excellently', 'depict', 'tragic', 'ongoing', 'flooding', 'relief', 'rescue', 'efforts', 'govt', 'injustice', 'faced', 'less', 'industrialised', 'countries', 'like', 'pakistan', 'created', 'industrialised', 'world']"
causing massive displacement people livelihoodoceans levels rising indonesia making new capital jakarta sinkingtime law ban fossil fuel deforestation immediately,India,2022,August,"['causing', 'massive', 'displacement', 'people', 'livelihoodoceans', 'levels', 'rising', 'indonesia', 'making', 'new', 'capital', 'jakarta', 'sinkingtime', 'law', 'ban', 'fossil', 'fuel', 'deforestation', 'immediately']"
un secretarygeneral antnio guterres used social media platform warn international community consequences guterres enforced taken seriously another country fall victim devastation,India,2022,August,"['un', 'secretarygeneral', 'antnio', 'guterres', 'used', 'social', 'media', 'platform', 'warn', 'international', 'community', 'consequences', 'guterres', 'enforced', 'taken', 'seriously', 'another', 'country', 'fall', 'victim', 'devastation']"
un secretarygeneral antnio guterres used social media platform warn international community consequences guterres enforced taken seriously another country fall victim devastation lets stop,India,2022,August,"['un', 'secretarygeneral', 'antnio', 'guterres', 'used', 'social', 'media', 'platform', 'warn', 'international', 'community', 'consequences', 'guterres', 'enforced', 'taken', 'seriously', 'another', 'country', 'fall', 'victim', 'devastation', 'lets', 'stop']"
dear wont blame next time order gets wrapped bubble wrap,India,2022,August,"['dear', 'wont', 'blame', 'next', 'time', 'order', 'gets', 'wrapped', 'bubble', 'wrap']"
forget names countries second gaze globe large telescope realize magnitude threat causes life planet,India,2022,August,"['forget', 'names', 'countries', 'second', 'gaze', 'globe', 'large', 'telescope', 'realize', 'magnitude', 'threat', 'causes', 'life', 'planet']"
working green initiative also pakistan hit bad floods ppl lost lives homes infrastructure help ppl pak time,India,2022,August,"['working', 'green', 'initiative', 'also', 'pakistan', 'hit', 'bad', 'floods', 'ppl', 'lost', 'lives', 'homes', 'infrastructure', 'help', 'ppl', 'pak', 'time']"
khana politicians busy planting landmines installing electric fences time trees die first either floods droughts insects famines nothing works bombs well think minor issues like,India,2022,August,"['khana', 'politicians', 'busy', 'planting', 'landmines', 'installing', 'electric', 'fences', 'time', 'trees', 'die', 'first', 'either', 'floods', 'droughts', 'insects', 'famines', 'nothing', 'works', 'bombs', 'well', 'think', 'minor', 'issues', 'like']"
