content,place,year,month
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/XK3ZReQKWN

#WeMeanToClean #Volunteering #Volunteer #Shramdaan #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/v1OtVuUxqc",India,2022,August
@moefcc Poor countries are bearing the brunt of global warming due to high level of carbon emissions by developed countries. Apt example is Kerala. A state with 59% tree cover and minimal pollution is suffering due to volatile climate change. Any solution?,India,2022,August
"2️⃣-(the reason for the Himalayas) has created the largest floodplain in the world. Despite contributing less than 1% of carbon emissions causing climate disintegration, Pakistan is still amongst the top 10 countries most vulnerable to climate change. 
#GlobalWarming",India,2022,August
Apparently billion tree Tsunami wasn’t a hoax it was much more needed than ever! #Pakistan #floods #globalwarming #FossilFuels https://t.co/ixdNbWeiZN,India,2022,August
"@KTRTRS Sir we have seen banging utensils to stop corona virus by very this PM, so dont b surprise by his new invention to control mal nutrition. We have also seen a+b square, no global warming but we getting old..all JUMLA NAYAK",India,2022,August
"A global-warming expert warned on Wednesday that Bangkok could face massive flooding similar to what happened in 2011 mainly because of possible 1,200-millimetre rainfall or the so-called “100-year-level rains”. https://t.co/xCfvdu680d",India,2022,August
"UN Secretary-General António Guterres has warned the international community about the consequences of global warming. 

Guterres enforced that if climate change is not taken seriously, another country can fall victim to its devastation. https://t.co/jyETFR6tww",India,2022,August
@ysathishreddy We should tell @RahulGandhi  to make a water to petrol machine. It will end global warming also. #savewater #BangaloreRoads https://t.co/xxamDnAcIe,India,2022,August
"Our #NativeTrees plantation drive in #Dwarka
Read: https://t.co/dDXN0b7T9e

#WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #DelhiSmog #DelhiChokes #Green #Trees #Afforestation #GlobalWarming #ClimateChange #ClimateAction #WMTCBlog https://t.co/U6RfZc9UUJ",India,2022,August
"How are we acting towards #DelhiPollution?
https://t.co/hsn7O2pHk8

#WeMeanToClean #CleanDelhi #SwachhBharat #Volunteer #Volunteering #Shramdaan #Delhi #Afforestation #Trees #GlobalWarming #ClimateChange #ClimateAction #PaaniDiyaKya #WMTCBlog https://t.co/4FNflxRkmx",India,2022,August
"UN Secretary-General @antonioguterres warns the international community about the consequences of global warming. 

If not taken seriously climate change can be catastrophic and we can see the destruction that it has caused in Pakistan. #ClimateChange #ClimateEmergency https://t.co/xXDImNIGkG",India,2022,August
"Solar Rail/ Brackets
#solarpower #solarenergy #environment #renewableenergy #gosolar #energiafotovoltaica #solar #gogreen #fotovoltaica #savetheenvironment #plantatree #globalwarming #beatplasticpollution #energiasolar #energy #plant https://t.co/rPNcBrT3wB",India,2022,August
"Farther north in Norway’s arctic island archipelago, Svalbard, glaciers have melted at a record pace due to human-caused climate change and global warming.",India,2022,August
"Be part of the solution, not the pollution #SaveOceans

#GoByGreen #gobygreenofficial #GoByHolidays #GoBy #pollution #environment #climatechange #nature #savetheplanet #plasticpollution #earth #zerowaste #recycle #sustainability #globalwarming #saynotoplastic #usepublictransport https://t.co/hQr2ZY6QOC",India,2022,August
"@bleasdale_r Richard they are even blaming global warming on the MONSOON flooding in Pakistan, its been happening since records began,much more damage done in the past",India,2022,August
"Climate change, global warming, rising sea levels are causing drought and other severe weather events. 

Bosconet actively promotes many of those green initiatives

It is one vital step towards promoting green energy and reducing carbon footprints.

#Bosconet #GreenChange https://t.co/DC4scfL9L3",India,2022,August
"Women empowerment a game changer in conservation https://t.co/KybN1bW0Fq

#GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime",India,2022,August
"@antonioguterres There could be no compensation for human lives lost anywhere however, rehabilitation and rebuilding of infrastructure can be funded (by UN) by assigning cost tag to the countries contributing to high emissions and global warming in past.",India,2022,August
@ashwsbreal #starlink will fix this.meanwhile visit SK for alternative of global warming prevention @elonmusk https://t.co/LlC6kUJfqY,India,2022,August
Peak cognitive dissonance is people who claim to care about the environment and concerned about global warming also watch motor sports. https://t.co/HtSUhBXdC5,India,2022,August
"Only 3% of the world's water is fit for human use, and even in the most developed nations, water is becoming increasingly limited. 

It's our responsibility to conserve water for us as well as for future generations to come.

#MobiusFoundation #Globalwarming #WaterScarcity https://t.co/D5RRZlKE1S",India,2022,August
"Pakistan has 7,253 glaciers; the highest number outside the polar regions. Global warming is melting them at an alarming rate, causing flash floods across the country.

This year, the monsoon season has brought unprecedented rains since mid-June. With these devastating rains",India,2022,August
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/XK3ZReQKWN

#WeMeanToClean #Volunteer #Volunteering #Shramdaan #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/Wdgk2Ue6bM",India,2022,August
"More mango and jamun added to our #NativeTrees nursery REUSING waste plastic packets
Read: https://t.co/QBDLqn7unn

#WeMeanToClean #CleanDelhi #SwachhBharat #REUSE #WasteManagement #EndPlasticPollution #Afforestation #GlobalWarming #ClimateAction #WMTCBlog https://t.co/cy8LXApH9j",India,2022,August
"How will Real #AI affects Climate Change and Global Warming?
https://t.co/iTEUX11j5O
#sustainability #Climate #Energy #Agriculture #Environment #Transport #IoT #IIoT #CX #ML #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataScience #BigData #Analytics #Serverless",India,2022,August
@SirLieALott And global warming didn't stop. 😃,India,2022,August
"Thanks @FijiPM for raising your voice. We all need to take strong steps to save our planet from global warming. Robert Swan, said ‘The greatest threat to our planet is the belief that someone else will save it.’ Not a single can solve this man made problem alone, but together https://t.co/b7eXzlSY3I",India,2022,August
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/njuKWM8ZY4

#WeMeanToClean #Volunteer #Volunteering #Shramdaan #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/0s04dJDsOe",India,2022,August
"@siasatpk Exactly it should be 👍, also those should be questioned who cut hundred thousands of trees to make housing societies on Agri/Green lands causing global warming &amp; climate issues in Pakistan.",India,2022,August
@RoseBleedYellow @BhaavnaArora Don't worry about science. Global warming will take care shortly.,India,2022,August
@ReginaCassandra Global warming,India,2022,August
"The intense heat due to climate change would pose a serious threat to public health and agricultural systems and is likely to render large areas uninhabitable
@Srish__T | #GlobalWarming #Heatwave #India 
https://t.co/phqlof8Bn8 https://t.co/sXYGjMwGel",India,2022,August
"@FijiPM This my village Bahrain in Swat, we built it in 12 years after the floods of 2010, now floods ruined it again. We are tired. 
Stop Global warming please. 🙏🙏🙏🥹🥹🥹",India,2022,August
"@WhirlyGirl1200 @edgarrmcgregor They are trying to makes us believe this is global warming, but every September we get this.",India,2022,August
"Happy Ganesh Chaturthi 
#HappyGaneshChaturthi #GaneshaChaturthi #JanShakti4JalShakti #groundwater #everydropcounts #globalwarming #rainwaterharvesting #WaterCrisis #saveearth #buildingconstruction #urbanplanning #innovation #greentech #sustainability #plumbing #mepdesign https://t.co/79BWL1BWGG",India,2022,August
@BinaShah Is #Pakistan ready to accept that CPEC might have played it’s role too in this climate change event? Miss global soul! Think of global warming as a global issue where even citizen’s stands responsible! Let’s not move onto a different direction and old dates debates anymore!,India,2022,August
Global warming or doomsday???,India,2022,August
Countries responsible for global warming in terms of their carbon foot print should and must take responsibility in providing aid and relief to the ones being affected by these changes. A resolution must be tabled at @UN @BBhuttoZardari,India,2022,August
China drought highlights economic damage wrought by global warming https://t.co/djprFcyq4g,India,2022,August
"When we planted neem, peepal and amaltas in #VikasPuri
Read: https://t.co/u7UH1vP7ZH

#WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #Green #GlobalWarming #ClimateChange #Shramdaan #Afforestation #ClimateAction #WMTCBlog https://t.co/m5AWeQP7mw",India,2022,August
@KaizenKitten @camera_bird Population of 🐝Bees is decreasing very fast due to Global Warming and communication Towers. SAVE THE EARTH🙇🌍.,India,2022,August
"@RT_com The country who used first atomic bomb and killed 110 thousands innocent people always invest in #war. Ordinary people are dying because of global warming but @WhiteHouse keep adding money in war against #Russia and #China 

Why #American gov loves to create more problems?",India,2022,August
"We planted peepal, neem, amaltas, jamun, pilkhan with Rise Foundation
Read: https://t.co/u8SBuAXy4t

#WeMeanToClean #CleanDelhi #SwachhBharat #AirPollution #DelhiPollution #DelhiSmog #DelhiChokes #Green #Trees #Afforestation #GlobalWarming #ClimateChange #ClimateAction #WMTCBlog https://t.co/kUOwWkiKlf",India,2022,August
"@Minesbastos How stupid of you to start bashing Pakistan without any statistical analysis

Pakistan CO2 emission is minimal% of the global emissions whether its the coal plants or autumn pollution 

Instead of bashing the major Co2 and global warming contributors u decided to defend the wrong",India,2022,August
global warming is such a buzzkill i can’t even…,India,2022,August
@nealasher Not about global warming but did you see when they put wolves back into a national park in US? It rebalanced the ecosystem including improving rivers and water supply. Pretty cool actually,India,2022,August
China drought highlights economic damage wrought by global warming https://t.co/3oiPE6xK6j,India,2022,August
@shansen008 @msun_12 @fr0hickey @SunburntTexan @EWErickson @benshapiro Also producing meat in large quantities is one of the biggest contributions to global warming and food shortage.,India,2022,August
@duckygyu he posted that photo the whole world stopped for that moment everyone was in complete awe no one breathed no one moved infact in that moment everyones skin was cleared everyones grades were top tier global warming even stopped to look,India,2022,August
"Yes, babe ?
I am watching great flood news in Pakistan. They said it's caused of global warming",India,2022,August
"One third of #Himalayan and half of #Alps snow has already melted due to #GlobalWarming, adding to the #ClimateChange and sea level is on irreversible path of increase.

https://t.co/TnBFcFzAH6",India,2022,August
@oreyjollypo Global warming nammaa nalathaaane athaan karma nature is returning back to us,India,2022,August
"Our lovely  habitat is turning scary but who cares? A voice from #Hunza #Pakistan. Thanks @FrankBainimarama for your concern.
#ClimateEmergency #FloodsInPakistan #GlobalWarming #Karakoram #glaciers https://t.co/2ZlosyfQ97",India,2022,August
"@EvanPrinciple @keke_coburn @Leonthehitman7 @donnadlu global warming causes more vapors, More clouds result more Rains, and more glaciars melt... Didnt get",India,2022,August
"@Leonthehitman7 @donnadlu global warming causes more vapors, More clouds result more Rains, and more glaciars melt... Didnt get",India,2022,August
"Global warming is one of the major concern in today's time.
On the auspicious ocassion of birthday of #SaintGurmeetRamRahimJi
 @DSSNewsUpdates volunteers conducted mega tree plantation drive to save the mother earth
#31DaysOfCelebration https://t.co/28YQks83ba",India,2022,August
"@laurenboebert Actually you mistake his words. Elon Musk says  ""population collapse due to low birth rates is a much bigger risk to civilization than global warming.""",India,2022,August
"A wake-up call—before it is too late #ClimateEmergency #GlobalWarming
#ClimateActionNow
More than 33m people affected in 🇵🇰 due to rains &amp; floods,over 1/3 of the country is submerged.
Sindh province with a population of 50m is a hardest hit, got 466% more rain in 30-year average. https://t.co/21M8FxDcHb",India,2022,August
"#GanpatiBappaMorya 

With due RESPECTS 2  MAHARASHTRIANS 

TAMBE marrying LOKHANDE is ALLOYING
LOKHANDE marrying PITALE is  BRAZING
KHOTE marrying KHARE is CHEATING
KALE marrying GORE is CONTRASTING
HIWALE marrying UNHALE is GLOBAL WARMING
But
WAGH marrying WAGHMARE is SUICIDE",India,2022,August
It's time to #SaveSoil for all the reasons #ClimateEmergency #GlobalWarming https://t.co/MaLqZ0lhls,India,2022,August
"@Aperta He didn't solve world peace , he didn't erase poverty and he didn't solve global warming while driving 200mph.",India,2022,August
Global warming is real research predicts 6 fold rise in fish mass die offs by 2100 https://t.co/qN6ploJh7H,India,2022,August
"Europe ain't facing global warming problems, they are facing global cooling issues. 
Winter is coming 🥶",India,2022,August
@pdmghadar @usembislamabad @USAID @USAID_Pakistan @USCGLahore @USCGPeshawar @usconsulatekhi I think you do not believe in GOD. USA is not GOD. And this is global warming that is effecting the whole world not only Pakistan. Travel around the world and then you will know. Countries are getting more hotter every single year .,India,2022,August
"#Socialprotection is an important tool in mitigating the impacts of #climatechange on the poor and vulnerable in Asian societies, writes Amir Jilani of @ADB_HQ.

Read here: https://t.co/w0nVPyNRjE

#globalwarming #climatechange #Parisagreement https://t.co/EOovg9bco5",India,2022,August
According to ADB report at least 21 floods have played havoc and drowned Pakistan  before current floods. Only the global warming is not responsible for that. We should think on integrated water management. https://t.co/8XKE1Etqrx,India,2022,August
"@aliiroba After 10 years of being a Governor, if you realized or heard about Global Warming today stop being sarcastic. Just know that you will be held accountable for mischief and detonation you have done during your term. Ironical at its best",India,2022,August
"Now, all of a sudden, global warming and a dash of Allah's will are to blame. If there were to be a ranking, Pakistan's disaster management agencies would come in last. 4/4",India,2022,August
"Now, all of a sudden, global warming and a dash of Allah's will are to blame. If there were to be a ranking, our disaster management agencies would come in last.4/4",India,2022,August
Plastic you didn't even know the term of Global Warming when Imran Khan started voicing concerns of GW and initiated a campaign to create awareness amongst local masses regarding the adverse impacts of GW. https://t.co/U08Vz05fTq,India,2022,August
@ForeignOfficePk @Masood__Khan @UN @antonioguterres Thanks @UN Chief 4 ur clarion call 4 help to Pak H/e  UN is the depository of a 1976 Convention ENMOD &amp; v hope UN wudn't declare d unprecedented rainfall an effect of global warming w/o investigations by Pak first as cloud seeding is v easy it seems https://t.co/RHiJuDrBwN,India,2022,August
"@Minesbastos No one should blame the West for global warming. They're only responsible for a meager 80% of all carbon emissions, even though they're 10% of global population.

However the global south should go green immediately, their CO2 emissions keep Ms Tiddly West up at night.",India,2022,August
"@hazratabdul7 @CMShehbaz It can be seen from attached screen shot that top 5 countries are contributing almost 60% of carbon emissions globally. These countries should compensate other countries who suffer from disasters due to global warming, Caused by them.",India,2022,August
@antonioguterres The country who contributes less than 1% to climate change/global warming is now the most affected country in the world. Countries responsible must be held accountable and come forward to cover the damages or else planet is already doomed!,India,2022,August
@woke_enigma When penguins gets irritated due to global warming,India,2022,August
"@hazratabdul7 @CMShehbaz 😂 well, most of the time natural disasters has no ones fault, but these floods are not just because of monsoon, the major reason is melting glaciers because of global warming, and carbon emissions is a major factor of global warming. https://t.co/e5UMTFDpox",India,2022,August
"Pakistan's share in global carbon emissions is less than 1% but it's among top 10 nations most affected by global warming.

Pakistan's debts should be waived off given the fact that Pakistan is facing these challenges due to carbon emissions of developed world.",India,2022,August
@anujtiwari11 @k_forandhra @amitsurg Meat is major cause of global warming  son,India,2022,August
Bizarre #ClimatiChange and #globalwarming damaging #Bangalore now https://t.co/6r3ApXuink,India,2022,August
---The addiction to fossil fuels which threatens to push humanity and planet to the brink through unsustainable global warming is tantamount to digging our own graves. We urgently need to make peace with nature.”-- Since nature has not been a kind mother! https://t.co/5eC6suXl46,India,2022,August
"Expecting the law to ban deforestation from this regime.

Never ever 

Out to destroy the eco system
More worsening of global warming and climatic change.

Delhi model shows it https://t.co/PQocpaID2I",India,2022,August
"@PPPPunjab_SM @BBhuttoZardari @CNN #BilawalBhuttoZardari spoke excellently on #CNN to depict the tragic ongoing  flooding in #Pakistan and the relief and rescue efforts of the Govt, and injustice faced by less industrialised countries like Pakistan of the global warming being created by industrialised world.",India,2022,August
"#GlobalWarming and #ClimaticChange is causing massive displacement of people and livelihood

Oceans levels rising with Indonesia making a new Capital as Jakarta is sinking

Time for the law to ban fossil fuel and deforestation immediately https://t.co/BOt5DU6yJg",India,2022,August
"UN Secretary-General António Guterres used his social media platform to warn the international community about the consequences of global warming.  Guterres enforced that if climate change is not taken seriously, another country can fall victim to its devastation. "" https://t.co/QnqLUDQ8FE",India,2022,August
"UN Secretary-General António Guterres used his social media platform to warn the international community about the consequences of global warming.  Guterres enforced that if climate change is not taken seriously, another country can fall victim to its devastation. ""Let’s stop https://t.co/VhLLXP1GAO",India,2022,August
"Dear @JeffBezos , I won't blame you for #GlobalWarming next time, when i see my @amazon order gets wrapped in a bubble wrap...... https://t.co/9JrpOJgSZZ",India,2022,August
@FijiPM Forget the names of all the countries for a second and gaze at this globe through a large telescope to realize the magnitude of the threat that global warming causes to all life on this planet.,India,2022,August
"@JohnGh87 @Amooor1st  You are working on green initiative and also for global warming.. Pakistan hit by bad floods, ppl lost lives, homes and infrastructure. Can you help ppl of Pak in this time? #GVR #GroveToken",India,2022,August
"@Ahmar_khanA @englandcricket Politicians are busy planting landmines and installing electric fences, who has the time for trees? Let all die first either by floods or droughts or insects or famines and if nothing works then bombs, only then we'll think about minor issues like global warming.",India,2022,August
@MichaelKugelman @BBCWorld Why you ppl don't understand the fact that Pakistan is among the least carbon-emitting countries yet largely affected by global warming. Rather than aiding; the countries that are the major culprits of global warming must compensate such countries to combat situations like these.,India,2022,August
We should also focus on global warming and climate change. https://t.co/evfnx7FvFV,India,2022,August
Our contribution to global warming and carbon footprint is not even 5% but we are paying the heaviest price. It's a global obligation to stake the burden and take responsibility for their contributions to disasters. https://t.co/4jFrmk96LY,India,2022,August
""" Stop sleepwalking towards destruction of our planet. Today, it is Pakistan. Tomorrow, it could be your country."" - #UN #SecretaryGeneral #ClimateEmergency #ClimateCrisis #climateChange #GlobalWarming",India,2022,August
"UN Secretary-General António Guterres used his social media platform to warn the international community about the consequences of global warming.  Guterres enforced that if climate change is not taken seriously, another country can fall victim to its devastation

#etribune #news https://t.co/AQOuQlPh5U",India,2022,August
"@SandeepParekh Chalo, something is cool in the days of global warming.",India,2022,August
"@elonmusk Bro plz team up with @ImranKhanPTI for Flood relief work in Pakistan.

You are one of those who believe in fight against global warming. We're in need of help!",India,2022,August
"""Scientists warn that the forest, seen as vital to averting catastrophic global warming, is at a tipping point."" Deforesters are plundering the Amazon. Brazil is letting them get away with it. https://t.co/6LJMfkJv5W",India,2022,August
"Natural calamity hit Pakistan worse than ever. The more DEVELOPED state pollute the environment the more DEVELOPING states suffers. Simple formula, they don’t have enough resources to curb the effects of GLOBAL WARMING while developed states somehow manages with bulk resources.",India,2022,August
"Most important thing in Bangalore is failing infrastructure that are unable to cope up with normal rains forget global warming induced weather extremities!

What’s more important to KA govt? Having Ganesh Chaturthi Pandals and celebrations in Muslims dominated areas!",India,2022,August
"Volunteer with us for #CleanDelhi #SwachhBharat #MyCleanIndia

Visit https://t.co/e0Jmo8NoLQ

#WeMeanToClean #Shramdaan #Volunteer #Volunteering #SwachhataHiSeva #Delhi #DelhiNCR #ClimateAction #GlobalWarming #ClimateChange #ClimateCrisis #ClimateEmergency #WeDontHaveTime https://t.co/nMINzNuMKq",India,2022,August
