content,place,year,month
"@GreenpeaceEU #Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world.",africa,2022,August
"#Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world. https://t.co/KWGuyaJvcu",africa,2022,August
"We can't put all the blame on global warming 😋😎
#fitness #fitnessaddict #FitnessMotivation #FitnessModel #muscles #hot #alphamale #workout #personaltrainer #personalgrowth #homeworkout #model #modelhot #FitnessGoals #fitnesslifestyle #HealthyLifestyle #Health #diet #Strongman https://t.co/ZmGDpLJ0aP",africa,2022,August
"most uninhabitable places on earth is an understatement! Summer temperatures are so high that you'd be convinced your brains were being melted within your cranium; winter temperatures are so low you'd pray for global warming day and night! The desert is filled with sand boas,",africa,2022,August
"African countries on Monday called for an end to a “climate injustice” saying the continent causes less than four percent of global CO2 emissions but pays one of the highest prices for global warming. Government officials, international organisations,… https://t.co/TWwQJw5lW8",africa,2022,August
"@USAmbKenya @JaneMarriottUK @The_EastAfrican Second hand trucks, vehicles contribute to the pollution burden on Africa yet it contributes  less than other regions to global warming emissions. UK is making KE a burial ground for vehicles that run on fossil fuel as it turns to cleaner technologies.",africa,2022,August
@Omarvelli global warming dealt with em too,africa,2022,August
@africabnn Over populated countries don't need more babies and we are also ready complaining about global warming and air pollution so why should we continue to depend on oil?,africa,2022,August
@dinosaurs1969 Global warming is very funny lol.,africa,2022,August
MAN-MADE GLOBAL WARMING HOAXSTERS: Greenland ice sheet set to trigger nearly a foot in sea level rise.  https://t.co/dnTf53vn4A,africa,2022,August
@Dept_ECC I read one of the IPCC's report that we have to achieve a mark reduction in greenhouse gases before 2030 to achieve 1.5oC global warming by 2050.Most nigerians are not even aware of the causes of climate change let alone of putting efforts to stop it. Nigerians need awareness!!!,africa,2022,August
"@Osama_otero Its just global warming bro..Apart from the polar regions, Pakistan has the most glaciers on the planet and they have been melting like nonsense.",africa,2022,August
"of scores of diesel generator spewing toxic fuel into the atmosphere in these days of global warming?
6: at what costs are these diesel generators being maintains and repaired?

O ma wa ga o!!!
@FeedbackOYSG @mrlurvy @RajiDraj @BayoAdedosu @iyaboawokoya @lollylarry1 @onis2bishop",africa,2022,August
"With 1.7°C global warming by 2050, 17–40 million people could migrate internally in sub-Saharan Africa, increasing to 56–86 million for 2.5°C (&gt;60% in West Africa).

 #ClimateCrisis  #ClimateBrawl
@mnyomb1 @IPCC_CH",africa,2022,August
"""The biggest problem in the world is not global warming, war or poverty, but how we organise among ourselves to make good decisions and carry them out — Alex Pentland, MIT professor""
by @arpahector #DAOs

https://t.co/GWMGJLAMET",africa,2022,August
"@Halcius_ @apfl_apfl @Sciencenature14 I'm surprised that you are quick to blame God and not not quick to blame men, humans never learn from history. We are the cause of global warming and climate change, but yeah why didn't God save baby rabbits and deer.",africa,2022,August
"@UncleGeeOfZion @ManlikeCharlz Baba say global wahala

When it's not global warming 😂😂",africa,2022,August
"environmental activists need to understand that in the short run, in the triangle of global warming, political dependency on Putin's gas and nuclear power, nuclear power is the most feasible alternative while we transition to green🌿
 https://t.co/KFDZCvIc4D via @business",africa,2022,August
"@WBG_Climate @IFC_org #Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world.",africa,2022,August
"#Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world. https://t.co/9GrguX6C98",africa,2022,August
"@antonioguterres #Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world.",africa,2022,August
"#Reward for a better #greenish world!
Ethiopia would be deserved for the  rewards for a better to reduce impacts of #global climate crisis. #LUCY's country (Ethiopia) was planted 25 billions to oppose the #global warming since 2019. Reward would  motivate for the #greenish world. https://t.co/1hO5nCgFke",africa,2022,August
"@cobbo3 @IndustryKE @UKinKenya 
Second hand trucks, vehicles contribute to the pollution burden on Africa yet it contributes  less than other regions to global warming emissions. UK is making KE a burial ground for vehicles that run on fossil fuel as it turns to cleaner technologies",africa,2022,August
"Finally got around to watching #Woodstock99 on #Netflix and according to the documentary white frat guys did 9/11, caused global warming and bombed Pearl Harbor.",africa,2022,August
"We must do everything we can to slow down global warming before it is too late. @UNFCCC @UNEP @UNDP @UNDPAfrica @_AfricanUnion

#ClimateActionNow https://t.co/Hi8WiHzxYg",africa,2022,August
"It is funny to present an imaginary scenario about global warming
Through a song produced in the year
1986 
#GlobalWarming",africa,2022,August
Global warming has has its negative impact on Agriculture. From reducing yields due to higher temperatures and pest proliferation.                                              Changes in rainfall cycles interrupts production timelines. More farmers are gradually moving to systems https://t.co/vkSKsy1IAv,africa,2022,August
"While we create renewable energy, only to find ourselves with more contamination! 😭 global warming dey fight back. https://t.co/qqnPvWplO7",africa,2022,August
"What the world will do in this decade will determine whether the goal of keeping global warming to below 1,5 degrees will remain possible.Communities are suffering from the #ClimateCrisis devastating impacts are escalating faster than they had earlier predicted. @PACJA1 @#ACW2022",africa,2022,August
Global warming directly affects the soil negatively as it has contributed to the loss of some microbes which used to duel  in the soil and help enrich the soil with required nutrients. This means we need to spend more to get the soil rich instead of relying completely on nature,africa,2022,August
"The truth is, global warming has increased the cost of farming by a huge margin. We are unable to rely so much on the rain for irrigation and the natural sun for our plants. This obviously gives us  a reduced yield and high cost of supplementing the loss from the global warming.. https://t.co/WX4OEnUH9K",africa,2022,August
"@Matwelv Thank you,confused global warming with climate change",africa,2022,August
"@DefarmerAlex @leninsorr @NkakouGlory @afriyfa @johndumelo @EfoKofi_fmr please help answer a question I have for Ghanaian farmers. 
As farmers, is global warming affecting the way you farm, and how are you dealing with it? 😊",africa,2022,August
"The world's wealthiest man, Elon Musk, has ruffled feathers by claiming that the global low birth rate poses a bigger risk to civilisation than global warming. #yennews #yenghana https://t.co/DcJ8txTKMF",africa,2022,August
"More people Die of Cold🥶Than Heat👊Humans are Tropical Species👊 Shady Climate Policies 4 Global Warming are the Con😈😳like ESG, Stop Farming, K#ll Cows, Restricting Good Fertilizers aka No Food🤦Destroying Cheap, Available Energy aka Oil👊or Blaming Rasha wont fix climate😎 https://t.co/Z3MrpjXADu",africa,2022,August
@honeydropz999 @demigodgeous Yep because nothing concerns this government about climate change/global warming.,africa,2022,August
"@ACupOfInfinity seaspiracy is really nice, it hs similarities with cowspiracy and what the health. I’d recommend for those who are passionate about global warming",africa,2022,August
"I wish I could hear some of the Global warming issues farmers in Ghana are facing and how they are coping...
Farmers on the tl, can you help?? https://t.co/4LTVIaVIGW",africa,2022,August
"Happy Rising 🌄

Finally the sun is out and our plants are happy.🍀

Ghana is definitely not exempt from Global warming issues, we've been seeing extreme, not balanced weather conditions

Too much rain in a short time this year, instead of spread out,farmers need consistent rain. https://t.co/4n8OLOJhvW",africa,2022,August
"@Chefkarim01 When Trump told world global warming is a hoax, they branded him as political incorrect.
Now, what has really changed for them to go back into burning coal if indeed global warming is that so scary to the world??",africa,2022,August
"@Chefkarim01 As winter approaches &amp; the war in UKR ain’t going the way they were anticipating;yet they’d cut the hands that were feeding them with gas &amp;oil, they left with no other options other than swallowing their pride &amp;dash for coal of which they said,burning of it cause global warming",africa,2022,August
"@WanLuoTv Don't underrate the farmers .What you called uninformed farmers ,are more informed than you never knew.Let's say ,the big problems farmers in Uganda and world is ,global warming and climate change .If may ask,show us your harvest?",africa,2022,August
"@MLiamMcCollum @LibertyLockPod You think you are protected from global warming in Montana?  Whole state is a tinderbox waiting to burn up in the coming dry summers.

Have you left the Trump Cult?",africa,2022,August
"The EV trend is accelerating faster than expected. Detailed report of the latest statistics is interesting. 
#TLDR #EV #GlobalWarming #Tesla #Xpeng #BYD #China 
https://t.co/wHZ5WKYgFG",africa,2022,August
@mogire_jusper Nothing like global warming bro.,africa,2022,August
I sweat so bad now that global warming is really upon us. I have to keep a sweat towel with me 😕,africa,2022,August
"@Altimor @paulg @elonmusk has been saying this.
Low birth rate is going to be a bigger problem than global warming.",africa,2022,August
@itzFrayoo Person wey no go care about global warming 😂,africa,2022,August
Africa’s place in a period of global warming (4) https://t.co/dAiDupIQ5D,africa,2022,August
@instablog9ja This will happen in Lagos soon Global warming,africa,2022,August
@evistarrrr Let’s talk about global warming,africa,2022,August
"Anthropogenic global warming is complete unfalsifiable just like the expansion of the universe and rule 34.

To strictly scientifically systematically disprove AGW you would have to do one the following impossible tasks:",africa,2022,August
The heavy downpour experienced this August points to the impact and consequence of global warming and climate change. 3/6,africa,2022,August
"while we could not have done anything about global climate change caused by global warming, we could certainly have done something about environmental degradation - @Julius_spencer  #SierraLeone #salonetwitter https://t.co/KIw7xCukMJ",africa,2022,August
"@theskeletor917 @asIiceofhistory Thanks to global warming, we shall have fewer 400ft icebergs",africa,2022,August
"The impact of #Climatechange is real, many African Countries continue to experience the negative effects even when they contribute the lowest percentage to #GlobalWarming 
We must all take #ActNow protect the #planet.
#planttrees #climatestrike @GreengrantsFund @MAAIF_Uganda https://t.co/wtDMvUPejR",africa,2022,August
@minkepatt @asIiceofhistory Global warming,africa,2022,August
Reptile boom 250 million years ago may have been due to global warming https://t.co/PVH32lND7H,africa,2022,August
@dnjaga1 Yes...global warming comes with two Inevitable side effects. Extreme heat and extreme cold. Flooding and droughts follow swiftly thereafter.,africa,2022,August
@JerryLambert70 @Fulcrum__7 @Sam_Brooklands @Sciencenature14 Everything I’ve read is an artifact of climate change and global warming.,africa,2022,August
"5 months,10 teams, 53 female farmers, impacted on climate smart agriculture, digital marketing, investment and trade.

Global warming is slowing changing the dynamics of the earth. Start educating your local farmers today!
#DreamITproject #farmsmart https://t.co/IxuOM0AzlU",africa,2022,August
"The russian frigate that causes global warming

we need to tackle this issue https://t.co/GIkUX3LKUz",africa,2022,August
"World Of Circular Economy offers solutions that help organisations capture, calculate and offset their emissions. #circulareconomy #sustainablesolutions #netzero2050 #sdggoals #globalwarming #sustainablebusiness https://t.co/3AMjYSo0wV",africa,2022,August
@anifel20 I have MSC in Chemistry with thesis on catalytic reduction of CO2 to mitigate global warming and enhance energy sustainability. i am sending the email right away,africa,2022,August
"Psychologist have a fundamental role in tackling climate change. They MUST provide our world with the necessary psychological resources the discipline offers to face global warming threat. 
#COP27
#ClimateActionNow
#OneAfricaOneVoice 
#GlobalWarming 
#WhatHasChanged 
@UNEP https://t.co/jGoQo55XYT",africa,2022,August
"@OleOtivo @Thee_mavERIC Hii ni ya global warming, hii siku pale OT,the temperatures were very high for arsenal.",africa,2022,August
"global warming, the phenomenon of increasing average air temperatures near the surface of Earth over the past one to two centuries. Climate scientists have since the mid-20th century gathered detailed observations of various weather phenomena (such as temperatures &amp; precipitation https://t.co/8fSoJpo48G",africa,2022,August
"All this cold.....

Still part of global warming?",africa,2022,August
"#GlobalWarming's a climate crisis. Israel heatwave - conserve energy.
There is no PLANet B. https://t.co/wzKNKPWENc via @timesofisrael",africa,2022,August
@ClimateHuman Little does he know that lower birth rates are due to global warming.,africa,2022,August
"@MatthewEGunter what are the valid concerns of not addressing global warming?

of making our environment bad?

of wasting energy? I agree we can't cut back but the waste in the US is amazing. and big companies are subsidized to do it.",africa,2022,August
"Global warming must remain a priority, and it's success is pegged on good governance for every country; Because they'll put in place proper policies and legislative framework that guides in protecting the environment. . Massive human migrations are inevitable in failure to act https://t.co/YDKTesBXm6",africa,2022,August
"Privilege is such a drug.

(As an aside, who really believes that the fight against global warming can ever yield results when you have people that are not only addicted but feel so strongly entitled to such consumption) https://t.co/x36d62MFC0",africa,2022,August
"“A senior minister in France has demanded that the country create 3,000 ‘green police’ posts in the face of global warming.” 
https://t.co/k8qnYXHYdD",africa,2022,August
We are not doing good enough to limit global warming to the crucial 1.5°C threshold.,africa,2022,August
This is global warming. https://t.co/v0xBqqhIOY,africa,2022,August
"@africabnn In order to fight the effects of global warming and serve the entire globe, may God intervene",africa,2022,August
@Mzinduzi @AdhiamboKE 💯 This is about white births. He's also making a false equivalence by throwing global warming into the mix especially now when heatwaves+ the floods are destroying lives. It is a distractionist tactic in my view because we know who's responsible for global warming.,africa,2022,August
"#action #GlobalWarming #ClimateEmergency 🌿☘️🪴🌲🌳🌴, Earth 🌎 in Chao's. https://t.co/42p5Lr9pWU",africa,2022,August
@Southwalesaudit @itsrichhoblyn At least everyone will be begging for a bit of global warming by spring time,africa,2022,August
"@benjamin4peace Yet some people don't ""believe"" there is global warming, but have no problem believing some man 1000s of years ago put every animal on a boat",africa,2022,August
Global warming alone is enough to wage war against USA and China. Their pollution is equivalent in destruction to WMDs. https://t.co/G0MujOrSf0,africa,2022,August
@elonmusk What are the dangers of global warming as compared to civilization?,africa,2022,August
"Yes it's Global warming effects;  but  These drying up rivers are really giving the world new discoveries... First the ""Hunger stone"" , and now the ""Dinosaur footprints"" ?? Keep it coming mother earth.... Let's see more 😌😂 https://t.co/wssCJkcDAi",africa,2022,August
"@kashthefuturist I’m getting this now. 

So the ice melts, sea level rises, more water evaporates into the atmosphere and then comes down as rainfall and that is how global warming causes leads to intense flooding.",africa,2022,August
Hard choices to be made! #GlobalWarming #ClimateCrisis #ClimateEmergency #ClimateActionNow #climatejusticenow https://t.co/uaytDaViCB,africa,2022,August
@pmukasaofficial The weather changed. Global warming on the rise. Plant trees and their skins will stay dark skinned.,africa,2022,August
@YoXorM Global warming.,africa,2022,August
@elonmusk Global warming is much worse,africa,2022,August
"@RepMTG @RSBNetwork Your opinion is that man and woman are the image of God: that's religion, not science.  And leave it to ""global warming is actually good for us"" Greene to not know about sex disorders.  This rhetoric is used for attacking LGBTQ, and other COVID misinformation can be dangerous.",africa,2022,August
"Many blame the Fed, in part, for high inflation and criticize it for what looked like politicized inflation projections and for its advocacy of global warming policies. But hey, have you seen the shiny, diverse spinning top thingies they have on their board room conference table? https://t.co/2LYj73qgBZ",africa,2022,August
Not completely though. That's why we're discussing Global Warming. https://t.co/XnPssUn8du,africa,2022,August
"@Jackandpele @terrinakamura @themariadelilah @KevinOtteTV @Kugey @PaulKindersley @CharlotteWard @boschbot Hmm… is there collapse? Seems like we’re populating the earth more than ever. Meanwhile, global warming is rapidly changing life as we know it. Not sure how he can justify the statement.",africa,2022,August
Elon Musk Says the World Has a Bigger Problem than Global Warming https://t.co/ZsjwVcbIH7,africa,2022,August
You know why global warming is happening these days? Because you're too hot. Damn! https://t.co/d44QqoBqYQ,africa,2022,August
do dams increase global warming? 🥺 https://t.co/zHhdo1fWCP,africa,2022,August
"What are you doing to help combat global warming? Always take a step back and reflect, we can’t just sit idly and wait until it hits home.",africa,2022,August
"Above 1.5°C global warming the risk of heat-related deaths rises sharply, with at least 15 additional deaths per 100,000 annually across large parts of Africa. @IPCC_CH

#ClimateCrisis  #ClimateBrawl",africa,2022,August
@austinvin07 faverable time zone lmaooo. kuku blame climate change or global warming,africa,2022,August
@sum1calleddudee @Reuters The opposite of global warming would be global cooling. This is a consequence of global warming. Warmer temperatures cause more water to evaporate from rivers and oceans causing more frequent and heavier downpours.,africa,2022,August
"I didn't anticipate to be freezing in Salama, in August. 

This global warming needs to stop https://t.co/CNqKLi7g9g",africa,2022,August
"💔😂😂Someone To Ask Rigathi °What is Global Warming? 😫😅Akijua Tunamwapisha Direct. 

Aibu Wa Rice. #AskRigathi.",africa,2022,August
@RBiakpara Is it global warming or human tampering with natural channels?,africa,2022,August
@Jasiri_TEA @mutindah @mavocaptain @NdunguMartins @lebeket They should use it to combat global warming.,africa,2022,August
@Dudurewa_ Give them money to stop global warming please,africa,2022,August
@MaichdehC @HomeboyzRadio @EricNjiiru Wuue atakama 'its your opinion ' ungeiwacha kwa thinking stage 😫😫🥺 contenders!? Global warming imeenda na knowledge kiasi kwani,africa,2022,August
Regrettably we are on a pathway to global warming of more than double the 1.5 degrees Celsius.,africa,2022,August
@lawrencekitema Global warming.,africa,2022,August
@Reuters Russia is the big winner from global warming.,africa,2022,August
The reality of global warming Act now @UNFCCC @UKHealthClimate @US_Center @ccs_inc1 https://t.co/B4XSYtezpc,africa,2022,August
@elonmusk Less birth rates means less global warming consequences.,africa,2022,August
"Rivers in Europe are drying
Flooding in Pakistan
No one can predict the Kenyan weather anymore

Global warming and climate change is a real phenomenon and sadly the big nations who can do something about it are the cause",africa,2022,August
This period of time is most relevant to gaining insights about the earth’s climate that can be applied to the present-day global warming debate.,africa,2022,August
"@alexleekiprop Meanwhile billionaires like him hoarding wealth is the reason we're in a climate catastrophe right now.  Check heat waves in Europe, floods in Pakistan, drought in China and even right here in Kenya. Remember at this rate of global warming, there's no reverse button.",africa,2022,August
Global warming is a major issue,africa,2022,August
Let's continue supporting to the Tiwi indigenous people in the legal success and have it as an example to other #fosillOpportunists. #GlobalWarming is real #ClimateCrisis #ClimateAction #renewableenergy #EnergyTransition,africa,2022,August
Elon Musk is way ahead of many people . They've made us believe Global warming is the real threat will they inject so Many diseases to depopulate the world.... risky business. I think nature has a way of doing its job. We shouldn't do the work of Nature. https://t.co/bHBk6jHYZB,africa,2022,August
"Countdown to zero-emission and hope for minimal global warming as California, America's most populous state rules that all new cars sold in the state must be zero-emission from 2035. This is a great relief and gains to the depleted environment.",africa,2022,August
"This is what #China's breakneck economic gallop in the last 20 years has led to ......
https://t.co/QgZcDDULNE 
#GlobalWarming  
#BusinessAsUsual",africa,2022,August
"Climate change impacts the world’s water in complex ways. Consider a water cycle diagram, like the one below; global warming is altering nearly every stage in the diagram. These changes will put pressure on drinking water supplies, food production, (continue) https://t.co/RXJjA6WgGd",africa,2022,August
"All I'm saying is, there was no global warming before the women's rights movement",africa,2022,August
They start the fire 🔥in the Forest just to create global warming ✍🏼 https://t.co/L01celkyaq https://t.co/jApKI6rJUI,africa,2022,August
"Global warming is just a big L!E
Our do you believe something the Govt doesn’t want you research on 🤔 https://t.co/zmQNLATXPL",africa,2022,August
